"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Fats and Oils","nRPLC_514.2838_9.6",0.727381982252074,0.000125163165579663,0.000813560576267807,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Eggs","nRPLC_448.3069_9.4",0.722052629660747,0.000148204087851186,0.000884894438349754,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318
"Eggs","pHILIC_740.522_4.4",-0.722052629660747,0.000148204087851186,0.000884894438349754,"740.522_4.4","PC(33:4)",NA,NA,NA,NA,"-0.655647531","pHILIC",1e+06,"[M+H]+","YES","Y",NA,NA,"PC(33:4)",1396459.05666167
"Eggs","pHILIC_768.5548_4.4",0.721277062926418,0.000151845791196112,0.000884894438349754,"768.5548_4.4","PC(35:4)",NA,NA,NA,NA,"1.322408025","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(35:4)",2871776.32608563
"Eggs","nHILIC_835.537_5.2",0.721277062926418,0.000151845791196112,0.000884894438349754,"835.537_5.2","PI(34:1)",NA,NA,NA,NA,"3.348071426","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PI(34:1)",345572.869811417
"Eggs","pRPLC_647.5116_11.7",0.722052629660747,0.000148204087851186,0.000884894438349754,"647.5116_11.7","SM(d18:1/12:0)","C00550","HMDB12096",NA,"HMDB","-1.012407775","pRPLC",2e+05,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/12:0)",327144.231265851
"Eggs","nRPLC_514.2838_9.6",0.722052629660747,0.000148204087851186,0.000884894438349754,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Seafood","nRPLC_448.3069_9.4",0.723238274815843,0.000142783081633929,0.000893716325782744,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318
"Seafood","pHILIC_740.522_4.4",-0.723238274815843,0.000142783081633929,0.000893716325782744,"740.522_4.4","PC(33:4)",NA,NA,NA,NA,"-0.655647531","pHILIC",1e+06,"[M+H]+","YES","Y",NA,NA,"PC(33:4)",1396459.05666167
"Seafood","pRPLC_647.5116_11.7",0.723238274815843,0.000142783081633929,0.000893716325782744,"647.5116_11.7","SM(d18:1/12:0)","C00550","HMDB12096",NA,"HMDB","-1.012407775","pRPLC",2e+05,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/12:0)",327144.231265851
"Seafood","nRPLC_514.2838_9.6",0.723238274815843,0.000142783081633929,0.000893716325782744,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Fats and Oils","nRPLC_448.3069_9.4",0.72169041744572,0.000149895342464656,0.000904725459875968,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318
"Fats and Oils","pHILIC_740.522_4.4",-0.72169041744572,0.000149895342464657,0.000904725459875968,"740.522_4.4","PC(33:4)",NA,NA,NA,NA,"-0.655647531","pHILIC",1e+06,"[M+H]+","YES","Y",NA,NA,"PC(33:4)",1396459.05666167
"Tea","pHILIC_160.0967_7.5",-0.740562056703764,8.1022759166619e-05,0.000912856419943907,"160.0967_7.5","Betonicine","C08269","HMDB29412",NA,NA,"-0.774954111","pHILIC",3e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Betonicine",877702.942247655
"Fats and Oils","nRPLC_204.0666_4.3",0.719413791523178,0.000160913158432128,0.000937735302587232,"204.0666_4.3","Cinnamoylglycine",NA,"HMDB11621","16534-24-0","HMDB","-0.064479201","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Cinnamoylglycine",37753.5388229867
"Fats and Oils","pRPLC_675.5429_12.6",0.718275478561907,0.000166680177194167,0.000938964998193806,"675.5429_12.6","SM(d18:1/14:0)",NA,"HMDB12097",NA,"HMDB","-0.97052547","pRPLC",6e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/14:0)",7753977.13475025
"Rice_Pasta_Noodles","pHILIC_768.5548_4.4",0.724012619863826,0.00013933610365285,0.000941912060693268,"768.5548_4.4","PC(35:4)",NA,NA,NA,NA,"1.322408025","pHILIC",2e+06,"[M+H]+","YES","Y",NA,NA,"PC(35:4)",2871776.32608563
"Rice_Pasta_Noodles","nHILIC_835.537_5.2",0.724012619863826,0.00013933610365285,0.000941912060693268,"835.537_5.2","PI(34:1)",NA,NA,NA,NA,"3.348071426","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PI(34:1)",345572.869811417
"Meat_Poultry","nRPLC_151.04_2.3",-0.769499561819095,2.83313584448309e-05,0.000957599915435283,"151.04_2.3","2-Hydroxyphenylacetate","C05852","HMDB00669",NA,NA,"-0.421724085","nRPLC",20000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","2-Hydroxyphenylacetate",89043.6564576962
