"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int","class"
"Fats and Oils","pHILIC_170.0923_8.5",0.746733302593678,6.55136536844958e-05,0.0005032639760309,"170.0923_8.5","1-Methylhistidine","C01152","HMDB00001",NA,NA,"-0.630517121","pHILIC",2e+06,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","1-Methylhistidine",2105648.82297421,"IS"
"Fats and Oils","nHILIC_194.0458_4.6",0.737626798903512,8.94570095059456e-05,0.000657314548108905,"194.0458_4.6","Hydroxyhippurate",NA,NA,NA,NA,"-0.398768376","nHILIC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Hydroxyhippurate",1233088.00717227,"IS"
"Fats and Oils","nHILIC_202.1197_13.3",0.734211860019699,0.000100220552901109,0.000703377291838467,"202.1197_13.3","Gly-Lys or Lys-Gly",NA,NA,NA,NA,"-0.056245606","nHILIC",90000,"[M-H]-","YES","Y","Peptide","Dipeptide","Gly-Lys or Lys-Gly",90687.1963537207,"IS"
"Fats and Oils","pHILIC_776.5554_3",0.733073547058428,0.000104049895242377,0.000703377291838467,"776.5554_3","PE(P-40:6)",NA,NA,NA,NA,"-4.474728145","pHILIC",1e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-40:6)",2494677.80316315,"IS"
"Fats and Oils","nRPLC_514.2838_9.6",0.727381982252074,0.000125163165579663,0.000813560576267807,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107,"IS"
"Fats and Oils","nRPLC_448.3069_9.4",0.72169041744572,0.000149895342464656,0.000904725459875968,"448.3069_9.4","Chenodeoxycholic acid glycine conjugate","C05466","HMDB00637","640-79-9","HMDB","0.12576723","nRPLC",2e+06,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Chenodeoxycholic acid glycine conjugate",3351197.0866318,"IS"
"Fats and Oils","pHILIC_740.522_4.4",-0.72169041744572,0.000149895342464657,0.000904725459875968,"740.522_4.4","PC(33:4)",NA,NA,NA,NA,"-0.655647531","pHILIC",1e+06,"[M+H]+","YES","Y",NA,NA,"PC(33:4)",1396459.05666167,"IS"
"Fats and Oils","nRPLC_204.0666_4.3",0.719413791523178,0.000160913158432128,0.000937735302587232,"204.0666_4.3","Cinnamoylglycine",NA,"HMDB11621","16534-24-0","HMDB","-0.064479201","nRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Cinnamoylglycine",37753.5388229867,"IS"
"Fats and Oils","pRPLC_675.5429_12.6",0.718275478561907,0.000166680177194167,0.000938964998193806,"675.5429_12.6","SM(d18:1/14:0)",NA,"HMDB12097",NA,"HMDB","-0.97052547","pRPLC",6e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/14:0)",7753977.13475025,"IS"
"Fats and Oils","pHILIC_282.119_6.7",0.715998852639365,0.000178752854935154,0.000974491370452938,"282.119_6.7","N1-methyladenosine","C02494","HMDB03331",NA,NA,"-2.43317140935536|-2.43317140935536|-2.43317140935536|-2.43317140935536|2.32438192199972|-2.43317140935536","pHILIC",5e+05,"[M+H]+","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N1-methyladenosine",543272.488946279,"IS"
"Fats and Oils","nRPLC_464.3015_8.8",0.702339097104115,0.000268321708760081,0.00141707402438918,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264,"IS"
"Fats and Oils","nHILIC_88.988_11",-0.700062471181573,0.000286501279972249,0.00146723382773667,"88.988_11","Oxalate (ethanedioate)","C00209","HMDB02329",NA,NA,"-0.317261083","nHILIC",2e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Oxalate (ethanedioate)",185575.736972802,"IS"
"Fats and Oils","nHILIC_128.0352_7.6",-0.690955967491407,0.0003702504656989,0.00184036260891512,"128.0352_7.6","5-oxoproline","C01879","HMDB00267",NA,NA,"-0.929926331","nHILIC",6e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","5-oxoproline",6764532.29940877,"IS"
"Fats and Oils","nHILIC_133.0506_2.3",0.684126089723782,0.000446152251067271,0.00215427801229625,"133.0506_2.3","2,3-Dihydroxyvaleric acid","C04039","HMDB00421","26386-47-0","HMDB","-0.214892254","nHILIC",70000,"[M-H]-","YES","Y","Cofactors and Vitamins","Pantothenate and CoA Metabolism","2,3-Dihydroxyvaleric acid",362197.295723164,"IS"
"Fats and Oils","nRPLC_441.3947_11.3",0.680711150839969,0.000488869715873697,0.00229497172174041,"441.3947_11.3","MG(24:0)",NA,"HMDB11558",NA,"HMDB","-0.520377418","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:0)",122331.523007717,"IS"
"Fats and Oils","nRPLC_369.1741_9.5",0.669328021227261,0.00065758095143899,0.00300354542684295,"369.1741_9.5","Androsterone sulfate",NA,"HMDB02759","2479-86-9","HMDB","-0.0398723458189992|-0.0398723458189992|-0.0398723458189992|0.510012145841384","nRPLC",6e+06,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Androsterone sulfate",7676563.60608563,"IS"
"Fats and Oils","pHILIC_754.5367_5.1",0.665913082343448,0.000717020498666142,0.00318885432301521,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442,"IS"
"Fats and Oils","nRPLC_455.2472_11",-0.654529952730739,0.000949506602025993,0.0041145286087793,"455.2472_11","Sulfolithocholic acid",NA,"HMDB00907","34669-57-3","HMDB","-0.1746876","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Sulfolithocholic acid",254661.729426606,"IS"
"Fats and Oils","pHILIC_178.0532_7.5",0.640870197195489,0.00131066084030629,0.00527384957170866,"178.0532_7.5","Alliin","C08265","HMDB33592",NA,NA,"-0.248031697","pHILIC",60000,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Alliin",115227.594807238,"IS"
"Fats and Oils","pHILIC_157.0607_8.3",0.640870197195489,0.00131066084030629,0.00527384957170866,"157.0607_8.3","Imidazolelactic acid","C05132","HMDB02320","876-19-7","HMDB","-0.462226333","pHILIC",1e+05,"[M+H]+","YES","Y","Amino Acid","Histidine Metabolism","Imidazolelactic acid",114795.189091805,"IS"
"Fats and Oils","nHILIC_135.0299_7.9",0.64200851015676,0.00127666820854062,0.00527384957170866,"135.0299_7.9","Threonic acid","C01620","HMDB00943","12/4/09","HMDB","0.04876608","nHILIC",2e+06,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Threonic acid",2638733.67549286,"IS"
"Fats and Oils","nRPLC_351.254_10.3",0.627210441660239,0.00178242636121372,0.00654847945750259,"351.254_10.3","MG(18:3)",NA,"HMDB11539",NA,"HMDB","-0.226082185","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:3)",65304.7963167176,"IS"
"Fats and Oils","nRPLC_377.2696_10.5",0.627210441660239,0.00178242636121372,0.00654847945750259,"377.2696_10.5","MG(20:4)",NA,"HMDB04666","53847-30-6","HMDB","-0.342881119","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:4)",69317.8171140673,"IS"
"Fats and Oils","pHILIC_750.5399_3.1",0.627210441660239,0.00178242636121372,0.00654847945750259,"750.5399_3.1","PE(P-38:5)",NA,NA,NA,NA,"-4.429831219","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PE(P-38:5)",5125911.92798879,"IS"
"Fats and Oils","nHILIC_833.5227_5.2",0.627210441660239,0.00178242636121372,0.00654847945750259,"833.5227_5.2","PI(34:2)",NA,NA,NA,NA,"4.97390639","nHILIC",4e+05,"[M-H]-","YES","Y",NA,NA,"PI(34:2)",439313.978604485,"IS"
"Fats and Oils","pHILIC_850.6644_5",0.605582495396093,0.00282013843591265,0.00992923740977579,"850.6644_5","PC(P-42:5)",NA,NA,NA,NA,"-4.732279534","pHILIC",3e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-42:5)",744638.653751529,"IS"
"Fats and Oils","nHILIC_835.537_5.2",0.605582495396093,0.00282013843591265,0.00992923740977579,"835.537_5.2","PI(34:1)",NA,NA,NA,NA,"3.348071426","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PI(34:1)",345572.869811417,"IS"
"Fats and Oils","pHILIC_778.5358_5.1",0.597614304667197,0.00331277008396774,0.011425676412052,"778.5358_5.1","PC(36:6)",NA,NA,NA,NA,"-3.003008816","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(36:6)",181056.080780301,"IS"
"Fats and Oils","nRPLC_283.0822_2.4",0.596475991705926,0.00338870783279576,0.0114538324748497,"283.0822_2.4","p-Cresol glucuronide",NA,"HMDB11686",NA,NA,"-0.432490496","nRPLC",30000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","p-Cresol glucuronide",54536.0726051111,"IS"
"Fats and Oils","pHILIC_249.1078_10.4",0.586231175054488,0.00414026466426,0.0137197005541165,"249.1078_10.4","gamma-glutamylthreonine",NA,"HMDB29159",NA,NA,"-1.274701077","pHILIC",3e+06,"[M+H]+","YES","Y","Peptide","Gamma-glutamyl Amino Acid","gamma-glutamylthreonine",3032042.32068593,"IS"
"Fats and Oils","nRPLC_411.127_3.6",0.580539610248134,0.00461479774268427,0.0147151097832762,"411.127_3.6","N6-Carbamoyl-L-threonyladenosine",NA,"HMDB41623",NA,"HMDB","0.044534029","nRPLC",20000,"[M-H]-","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N6-Carbamoyl-L-threonyladenosine",19343.2457115189,"IS"
"Fats and Oils","pHILIC_732.5525_5.1",0.580539610248134,0.00461479774268427,0.0147151097832762,"732.5525_5.1","PC(32:1)",NA,NA,NA,NA,"-1.756540765","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"PC(32:1)",4487452.58646876,"IS"
"Fats and Oils","pRPLC_310.3104_11.1",0.572571419519238,0.00535466851621543,0.0167581292451927,"310.3104_11.1","Oleoyl Ethyl Amide",NA,NA,NA,NA,"-0.145084214","pRPLC",1e+05,"[M+H]+","YES","Y","Lipid","Long Chain Fatty Acid","Oleoyl Ethyl Amide",180217.381895923,"IS"
"Fats and Oils","nRPLC_153.0193_2.1",-0.562326602867801,0.0064484788085658,0.019814416702684,"153.0193_2.1","Gentisic acid","C00628","HMDB00152","490-79-9","HMDB","-0.186201628","nRPLC",50000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","Gentisic acid",69429.248521998,"IS"
"Fats and Oils","nRPLC_495.2962_9.1",0.560049976945259,0.00671512624615239,0.0202652917071385,"495.2962_9.1","Pregnanediol-3-glucuronide","C03033","HMDB10318",NA,"HMDB","-0.278829397","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnanediol-3-glucuronide",91095.2326315556,"IS"
"Fats and Oils","nHILIC_214.0488_7.2",0.558911663983988,0.00685183550064831,0.0203150912212204,"214.0488_7.2","sn-glycero-3-Phosphoethanolamine","C01233","HMDB00114","1190-00-7","HMDB","0.959298616","nHILIC",4e+05,"[M-H]-","YES","Y","Lipid","Phospholipid Metabolism","sn-glycero-3-Phosphoethanolamine",454333.283883792,"IS"
"Fats and Oils","pRPLC_169.0971_1.6",0.540698656603654,0.00937198586199136,0.0273080277702852,"169.0971_1.6","Cyclo(ala-pro)",NA,NA,NA,NA,"-0.47593602","pRPLC",40000,"[M+H]+","YES","Y","Peptide","Dipeptide","Cyclo(ala-pro)",44332.49660316,"IS"
"Fats and Oils","nRPLC_429.3008_10.3",0.538422030681113,0.00973461150397338,0.0278838871893475,"429.3008_10.3","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","C17337","HMDB12458",NA,NA,"-0.534110352","nRPLC",4e+05,"[M-H]-","YES","Y","Lipid","Sterol","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",413741.692823932,"IS"
"Fats and Oils","pHILIC_782.5665_5.1",0.5350070917973,0.0103000918112507,0.0290119252683562,"782.5665_5.1","PC(36:4)",NA,NA,NA,NA,"-3.755381454","pHILIC",4e+07,"[M+H]+","YES","Y",NA,NA,"PC(36:4)",71577205.8319258,"IS"
"Fats and Oils","pHILIC_229.1181_10.9",0.528177214029675,0.011511971484943,0.0318938226386125,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706,"IS"
"Fats and Oils","pRPLC_647.5116_11.7",0.527038901068404,0.0117248457369138,0.0319596601538457,"647.5116_11.7","SM(d18:1/12:0)","C00550","HMDB12096",NA,"HMDB","-1.012407775","pRPLC",2e+05,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/12:0)",327144.231265851,"IS"
"Fats and Oils","nRPLC_367.1585_8.9",0.523623962184592,0.012382852814142,0.0332174940569842,"367.1585_8.9","Dehydroisoandrosterone sulfate (DHEA-S)","C04555","HMDB01032",NA,NA,"0.095891584","nRPLC",1e+07,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Dehydroisoandrosterone sulfate (DHEA-S)",15133287.4245668,"IS"
"Fats and Oils","nHILIC_188.9862_0.9",-0.509964206649341,0.0153232210198132,0.0386511097365437,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882,"IS"
"Fats and Oils","pHILIC_158.1174_6.2",-0.511102519610612,0.0150583870361988,0.0386511097365437,"158.1174_6.2","Homostachydrine","C08283","HMDB33433",NA,NA,"-1.01030411","pHILIC",5e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Homostachydrine",671625.393816514,"IS"
"Fats and Oils","pHILIC_764.5577_5",0.511102519610612,0.0150583870361988,0.0386511097365437,"764.5577_5","PC(P-36:5)",NA,NA,NA,NA,"-1.532795961","pHILIC",1e+05,"[M-H]-","YES","Y",NA,NA,"PC(P-36:5)",216697.931495116,"IS"
