"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"Mixed_Meal","nRPLC_441.3947_11.3",-0.781239395609744,8.08421470514565e-08,4.55410761723205e-06,"441.3947_11.3","MG(24:0)",NA,"HMDB11558",NA,"HMDB","-0.520377418","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:0)",122331.523007717
"Bread_Products","nRPLC_283.0822_2.4",-0.776251884106515,1.10417576762877e-07,4.66514261823156e-06,"283.0822_2.4","p-Cresol glucuronide",NA,"HMDB11686",NA,NA,"-0.432490496","nRPLC",30000,"[M-H]-","YES","Y","Amino Acid","Tyrosine Metabolism","p-Cresol glucuronide",54536.0726051111
"Mixed_Meal","pHILIC_731.6033_5.7",-0.775648464820552,1.14600699245778e-07,4.84187954313414e-06,"731.6033_5.7","SM(d18:1/18:0)","C00550","HMDB12088",NA,"HMDB","-3.907645158","pHILIC",3e+06,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/18:0)",3312948.86080591
"Mixed_Meal","pRPLC_265.1184_2.6",0.767821161715683,1.83777874711006e-07,5.17641013769333e-06,"265.1184_2.6","Alpha-N-Phenylacetyl-L-glutamine","C04148","HMDB06344",NA,"HMDB","0.427812354","pRPLC",8e+05,"[M+H]+","YES","Y","Peptide","Acetylated Peptides","Alpha-N-Phenylacetyl-L-glutamine",898568.987267584
"Mixed_Meal","nRPLC_439.3792_11.1",-0.768380254794602,1.77789465165375e-07,5.17641013769333e-06,"439.3792_11.1","MG(24:1)",NA,"HMDB11559",NA,"HMDB","-0.182003771","nRPLC",40000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(24:1)",48871.7068565036
"Meat_Poultry","nHILIC_151.0611_5.4",0.759164392239808,3.03477459422157e-07,6.41096133029308e-06,"151.0611_5.4","Arabitol | Xylitol","C01904",NA,NA,NA,"-0.614815519","nHILIC",1e+05,"[M-H]-","YES","Y","Carbohydrate","Pentose Metabolism","Arabitol | Xylitol",146380.446256473
"Beverages","pHILIC_754.5367_5.1",0.768266208668151,1.78996279130583e-07,7.56259279326714e-06,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442
"Salad","nHILIC_238.0929_7.3",0.789397201336333,4.76943626475512e-08,8.06034728743616e-06,"238.0929_7.3","ethyl glucuronide",NA,"HMDB10325",NA,NA,"-1.346310153","nHILIC",3e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","ethyl glucuronide",327738.502754612
"Fats and Oils","nRPLC_464.3015_8.8",0.766203316027466,2.02163790523214e-07,8.5414201496058e-06,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264
"Sauces, Spices, and Herbs","nRPLC_312.2546_10.4",-0.764897556311236,2.18216245398192e-07,9.21963636807362e-06,"312.2546_10.4","Palmitoylglycine",NA,"HMDB13034","158305-64-7","HMDB","0.593781152","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Fatty Acid Metabolism(Acyl Glycine)","Palmitoylglycine",12132.0694067278
"Sauces, Spices, and Herbs","pHILIC_229.1181_10.9",0.76963105024211,1.65034618620542e-07,9.21963636807362e-06,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"Dairy_Products","nRPLC_415.3217_11.4",-0.774823591427308,1.20554476069122e-07,1.01868532278408e-05,"415.3217_11.4","Dihydroxyvitamin D3",NA,"HMDB00430",NA,"HMDB","-0.048038933","nRPLC",3e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Vitamin D Metabolism","Dihydroxyvitamin D3",352330.728501529
"Bread_Products","pHILIC_158.1174_6.2",0.754814938871211,3.87439873146497e-07,1.30954677123516e-05,"158.1174_6.2","Homostachydrine","C08283","HMDB33433",NA,NA,"-1.01030411","pHILIC",5e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Homostachydrine",671625.393816514
"Fats and Oils","nRPLC_411.127_3.6",0.748785798023782,5.39149190976981e-07,1.8223242655022e-05,"411.127_3.6","N6-Carbamoyl-L-threonyladenosine",NA,"HMDB41623",NA,"HMDB","0.044534029","nRPLC",20000,"[M-H]-","YES","Y","Nucleotide","""Purine Metabolism, Adenine containing""","N6-Carbamoyl-L-threonyladenosine",19343.2457115189
"Beverages","nHILIC_103.04_4.6",-0.745439357528522,6.45133177649145e-07,2.18055014045411e-05,"103.04_4.6","Hydroxybutyric acid",NA,NA,NA,NA,"-0.616277523","nHILIC",8e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Hydroxybutyric acid",8691325.38358818
"Dairy_Products","nRPLC_498.2892_10.3",-0.753609386186143,4.14212002501815e-07,2.33339428076022e-05,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625
"Sauces, Spices, and Herbs","pRPLC_359.3154_11",-0.743509176327287,7.14603387929266e-07,2.41535945120092e-05,"359.3154_11","MG(18:0)",NA,"HMDB11131",NA,"HMDB","-0.529800999","pRPLC",2e+06,"[M+H]+","YES","Y","Lipid","Monoacylglycerol","MG(18:0)",2802861.76869317
"Rice_Pasta_Noodles","nRPLC_327.2538_10.5",0.743150116257468,7.28256822065282e-07,2.46150805858065e-05,"327.2538_10.5","MG(16:1)",NA,"HMDB11534",NA,"HMDB","-0.851882898","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(16:1)",19787.7690314985
"Mixed_Meal","pHILIC_703.5724_5.7",-0.733716483901613,1.18455657109809e-06,2.85985800736538e-05,"703.5724_5.7","SM(d18:1/16:0)","C00550","HMDB13464",NA,"HMDB","-3.494027714","pHILIC",1e+07,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/16:0)",15280610.1709847
"Mixed_Meal","nHILIC_224.0617_4.8",0.730921018507017,1.3629603224417e-06,2.87925368115808e-05,"224.0617_4.8","Androstenediol (3beta,17beta) disulfate","C04295","HMDB03818",NA,NA,"4.106181136","nHILIC",2e+06,"[M-H]2-","YES","Y","Lipid","Androgenic Steroids","Androstenediol (3beta,17beta) disulfate",2293139.04003664
"Nuts_Seeds","pHILIC_754.5367_5.1",0.742421704907051,7.56690195247624e-07,3.19701607492121e-05,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442
"Sauces, Spices, and Herbs","nHILIC_425.0806_12.4",-0.734392817645603,1.1447278634387e-06,3.22431681535233e-05,"425.0806_12.4","Cysteineglutathione disulfide",NA,"HMDB00656","13081-14-6","HMDB","-0.058861097","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Cysteineglutathione disulfide",216241.172901529
"Mixed_Meal","nHILIC_88.988_11",-0.725330087717825,1.79528964322853e-06,3.37115499672913e-05,"88.988_11","Oxalate (ethanedioate)","C00209","HMDB02329",NA,NA,"-0.317261083","nHILIC",2e+05,"[M-H]-","YES","Y","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism","Oxalate (ethanedioate)",185575.736972802
"Nuts_Seeds","nRPLC_315.2541_9.4",-0.736392564059621,1.03400711657436e-06,3.49494405402135e-05,"315.2541_9.4","MG(15:0)",NA,"HMDB11532",NA,"HMDB","0.06437713","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(15:0)",58933.167501529
"Cereals_Grains","pHILIC_219.0795_5",-0.765035141417478,2.16471406383557e-07,3.6583667678821e-05,"219.0795_5","Pro-Cys or Cys-Pro","||","HMDB28783|HMDB29014|","||","HMDB|HMDB|Drugbank","-1.34365578532509|-1.34365578532509|2.74010600703997","pHILIC",1e+06,"[M+H]+","YES","Y","Peptide","Dipeptide","Pro-Cys or Cys-Pro",1359196.62924922
"Dairy_Products","nRPLC_464.3015_8.8",-0.73559414840198,1.07698381146696e-06,3.70310559007648e-05,"464.3015_8.8","Glycocholic acid","C01921","HMDB00138","475-31-0","HMDB","-0.554713367","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Glycocholic acid",654751.648961264
"Dairy_Products","nRPLC_355.2852_11",-0.735257414985453,1.09559336984511e-06,3.70310559007648e-05,"355.2852_11","MG(18:1)",NA,"HMDB11536",NA,"HMDB","-0.504551766","nRPLC",20000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(18:1)",23992.936959735
"Dairy_Products","nRPLC_371.1881_9.5",0.72936458019624,1.47259897636453e-06,4.14782045009343e-05,"371.1881_9.5","5alpha-Androstan-3alpha,17alpha-diol monosulfate",NA,NA,NA,NA,"4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|4.58359800172553|0.990313205912641|0.990313205912641|4.58359800172553|4.58359800172553|4.58359800172553","nRPLC",1e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","5alpha-Androstan-3alpha,17alpha-diol monosulfate",267847.509900224
"Rice_Pasta_Noodles","nRPLC_377.2696_10.5",0.728385544411293,1.5456252366195e-06,4.35351108314491e-05,"377.2696_10.5","MG(20:4)",NA,"HMDB04666","53847-30-6","HMDB","-0.342881119","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:4)",69317.8171140673
"Nuts_Seeds","nHILIC_131.0349_5.1",-0.727683805057779,1.59998380485151e-06,4.50662105033176e-05,"131.0349_5.1","Ethylmalonate",NA,"HMDB00622",NA,NA,"-0.596354892","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","Ethylmalonate",219116.61201105
"Rice_Pasta_Noodles","nRPLC_375.254_10.2",0.723973143629678,1.91752772666777e-06,4.62945979724077e-05,"375.254_10.2","MG(20:5)",NA,"HMDB11550",NA,"HMDB","-0.211661429","nRPLC",30000,"[M-H]-","YES","Y","Lipid","Monoacylglycerol","MG(20:5)",31417.6743969735
"Meat_Poultry","pHILIC_790.5707_2",0.716475050723555,2.7407606760312e-06,5.14653949165858e-05,"790.5707_2","PC(P-38:6)",NA,NA,NA,NA,"-4.838662612","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-38:6)",36436730.7765017
"Beverages","pHILIC_229.1181_10.9",0.724752523683233,1.84642258861984e-06,5.20075695794587e-05,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"Rice_Pasta_Noodles","pHILIC_179.0484_7.4",0.718542496513843,2.48649481970868e-06,5.25272030663458e-05,"179.0484_7.4","Cys-Gly or Gly-Cys",NA,NA,NA,NA,"-0.52171094","pHILIC",1e+05,"[M+H]+","YES","Y","Peptide","Dipeptide","Cys-Gly or Gly-Cys",141483.331294597
"Beverages","pHILIC_247.1437_5.3",0.720829158643609,2.23043230979487e-06,5.38490086221905e-05,"247.1437_5.3","Tryptophan betaine","C09213","HMDB61115",NA,NA,"-1.656926675","pHILIC",1e+06,"[M+H]+","YES","Y","Amino Acid","Tryptophan Metabolism","Tryptophan betaine",2191858.73993137
"Beverages","nHILIC_425.0806_12.4",-0.717619132702099,2.59727365835134e-06,5.4867406032672e-05,"425.0806_12.4","Cysteineglutathione disulfide",NA,"HMDB00656","13081-14-6","HMDB","-0.058861097","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","Cysteineglutathione disulfide",216241.172901529
"Dairy_Products","nHILIC_128.0352_7.6",-0.719599311116974,2.36499818918983e-06,5.70978134247258e-05,"128.0352_7.6","5-oxoproline","C01879","HMDB00267",NA,NA,"-0.929926331","nHILIC",6e+06,"[M-H]-","YES","Y","Amino Acid","Glutathione Metabolism","5-oxoproline",6764532.29940877
"Dairy_Products","pHILIC_754.5367_5.1",0.713706476327762,3.11833929226258e-06,6.58749175490469e-05,"754.5367_5.1","PC(34:4)",NA,NA,NA,NA,"-1.904272032","pHILIC",2e+05,"[M+H]+","YES","Y",NA,NA,"PC(34:4)",349883.379017442
"Nuts_Seeds","pHILIC_229.1181_10.9",0.714955618824317,2.94248069194371e-06,7.10398909912124e-05,"229.1181_10.9","pro-hydroxy-pro",NA,"HMDB06695",NA,NA,"-0.819820822","pHILIC",3e+05,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","pro-hydroxy-pro",307135.236847706
"Starchy_Vegetables","pHILIC_738.5049_3.9",-0.739966318199303,8.60174533690352e-07,7.26847480968348e-05,"738.5049_3.9","PE(36:5)",NA,NA,NA,NA,"-2.623462026","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PE(36:5)",231362.231873159
"Starchy_Vegetables","nHILIC_111.0199_3.4",-0.743465463514849,7.16252987816195e-07,7.26847480968348e-05,"111.0199_3.4","Uracil","C00106","HMDB00300","66-22-8","HMDB","-0.869271189","nHILIC",80000,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Uracil containing""","Uracil",86078.9332517839
"Beverages","nHILIC_777.5678_4.3",-0.708345724426624,3.98695375893801e-06,7.48661316956138e-05,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"Non_Starchy_Vegetables","pRPLC_359.3154_11",0.749455702562385,5.19950315160745e-07,8.78716032621658e-05,"359.3154_11","MG(18:0)",NA,"HMDB11131",NA,"HMDB","-0.529800999","pRPLC",2e+06,"[M+H]+","YES","Y","Lipid","Monoacylglycerol","MG(18:0)",2802861.76869317
"Mixed_Meal","nHILIC_287.052_8.1",0.700729992245381,5.60112635512496e-06,9.46590354016117e-05,"287.052_8.1","Orotidine","C01103","HMDB00788","314-50-1","HMDB","-0.29636261","nHILIC",1e+05,"[M-H]-","YES","Y","Nucleotide","""Pyrimidine Metabolism, Orotate containing""","Orotidine",108933.221253313
"Mixed_Meal","pRPLC_277.0384_5.1",0.697934526850785,6.32901862635841e-06,9.7236740714052e-05,"277.0384_5.1","Dihydroferulic acid",NA,NA,NA,NA,"2.70466605368801|3.44210826679891","pRPLC",30000,"[M-H]-","YES","Y","Xenobiotics","Food Component/Plant","Dihydroferulic acid",41240.1928245056
"Fats and Oils","nRPLC_429.3008_10.3",0.709931334784793,3.70955429708352e-06,0.000104485779367853,"429.3008_10.3","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","C17337","HMDB12458",NA,NA,"-0.534110352","nRPLC",4e+05,"[M-H]-","YES","Y","Lipid","Sterol","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",413741.692823932
"Snacks","nRPLC_514.2838_9.6",-0.720620796283092,2.25272802156962e-06,0.000119076274291455,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Snacks","nRPLC_498.2892_10.3",-0.715878755790512,2.81837335601077e-06,0.000119076274291455,"498.2892_10.3","Tauroursodeoxycholic acid",NA,"HMDB00874","14605-22-2","HMDB","-0.55851986","nRPLC",3e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Tauroursodeoxycholic acid",1287255.96127625
"Dairy_Products","nRPLC_514.2838_9.6",-0.695859605251861,6.92370801218944e-06,0.000130011850451113,"514.2838_9.6","Taurocholic acid","C05122","HMDB00036","81-24-3","HMDB","-1.151754849","nRPLC",60000,"[M-H]-","YES","Y","Lipid","Primary Bile Acid Metabolism","Taurocholic acid",524948.517295107
"Snacks","nHILIC_131.0349_5.1",-0.703684937381022,4.91511987523677e-06,0.000141834939090748,"131.0349_5.1","Ethylmalonate",NA,"HMDB00622",NA,NA,"-0.596354892","nHILIC",2e+05,"[M-H]-","YES","Y","Amino Acid","""Leucine, Isoleucine and Valine Metabolism""","Ethylmalonate",219116.61201105
"Snacks","pHILIC_130.0863_6.6",-0.697418669587256,6.47236705550696e-06,0.000141834939090748,"130.0863_6.6","N-methylproline",NA,NA,NA,NA,"0.320726017","pHILIC",2e+06,"[M+H]+","YES","Y","Amino Acid","Urea cycle; Arginine and Proline Metabolism","N-methylproline",1724519.39713048
"Snacks","nRPLC_312.2546_10.4",-0.701652634312773,5.37813044204591e-06,0.000141834939090748,"312.2546_10.4","Palmitoylglycine",NA,"HMDB13034","158305-64-7","HMDB","0.593781152","nRPLC",10000,"[M-H]-","YES","Y","Lipid","Fatty Acid Metabolism(Acyl Glycine)","Palmitoylglycine",12132.0694067278
