data_set1,data_set2,cor,p,p_adjust,p_adjust2,Mass,Compounds_ID,Metabolite,KEGG,HMDB,CAS,ChEBI,ppm,Mode,med,Ions,MSMS,Used.for.Quant,Super.pathway,Sub.pathway
Folate,pHILIC_298.1139_4.7,-0.116107922049627,0.606866596948899,0.722256724537774,0.773215378217822,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
VitK,pHILIC_298.1139_4.7,0.708030661910469,0.0002271629302785,0.0020205544851093,0.0033192469274144,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Panto,pHILIC_298.1139_4.7,-0.482644695578841,0.0229012428654816,0.0691126793618999,0.0896923621976908,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Ca,pHILIC_298.1139_4.7,-0.0387026406832089,0.864224853061329,0.924392406122561,0.941367142024848,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Chrom,pHILIC_298.1139_4.7,-0.499719389997904,0.0178809314421247,0.0698477251657014,0.0754757318223898,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Cu,pHILIC_298.1139_4.7,-0.356291956877776,0.103623637343294,0.227433697545672,0.248037658921403,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Fluor,pHILIC_298.1139_4.7,-0.24018403482815,0.281631002665786,0.390128192217359,0.481222604135338,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Iodine,pHILIC_298.1139_4.7,-0.300514621775505,0.174172335973583,0.341670345536436,0.348929012148374,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Fe,pHILIC_298.1139_4.7,-0.66818970826599,0.0006769068674103,0.0060209084522288,0.00740299732771,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Mg,pHILIC_298.1139_4.7,-0.340355575419985,0.121161102100401,0.273016350066238,0.27621277462797,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Mn,pHILIC_298.1139_4.7,-0.708030661910469,0.0002271629302785,0.0017262052455902,0.0033192469274144,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Moly,pHILIC_298.1139_4.7,-0.264088607014837,0.23498728107684,0.422477132999851,0.427019897870817,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Phos,pHILIC_298.1139_4.7,-0.266365232937379,0.230826109379391,0.469995331145989,0.422890051485213,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
K,pHILIC_298.1139_4.7,0.0512240832571883,0.820901370966365,0.883645424798189,0.915667942683155,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Se,pHILIC_298.1139_4.7,-0.182130073803336,0.417239834658644,0.592550689557234,0.615078538353765,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Na,pHILIC_298.1139_4.7,0.346047140226339,0.114668269241496,0.313000935008214,0.265739634565609,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Zn,pHILIC_298.1139_4.7,0.129767677584877,0.564900376119081,0.745845027844724,0.740063283442827,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
W3,pHILIC_298.1139_4.7,-0.423452421592757,0.0495587168592788,0.121382944191567,0.152228198528313,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
W6,pHILIC_298.1139_4.7,-0.18782163860969,0.402578437110397,0.680357558716571,0.601483746655183,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Alcohol,pHILIC_298.1139_4.7,0.0,1.0,1.0,1.0,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Caff,pHILIC_298.1139_4.7,-0.604624829206158,0.0028758727163863,0.0147279542142212,0.0206999865089657,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Chln,pHILIC_298.1139_4.7,-0.2538437903634,0.254316180185554,0.44308695310679,0.449203318067839,298.1139_4.7,pHILIC_298.1139_4.7,1-Methylguanosine,C04545,HMDB01563,2140-65-0,HMDB,-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-2.35139493013028|-0.0876856932803102,pHILIC,60000.0,[M+H]+,YES,Y,Nucleotide,"""Pyrimidine Metabolism, Uracil containing"""
Energy,pHILIC_170.0923_8.5,0.119522860933439,0.596255149220149,0.730196523320327,0.764808445018598,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
percent_carb_cal,pHILIC_170.0923_8.5,0.136597555352502,0.544413383602764,0.773158502763589,0.721774818965358,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
percent_pro_cal,pHILIC_170.0923_8.5,-0.605582495396093,0.0028201384359126,0.0208021208466708,0.0203709515890884,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
percent_fat_cal,pHILIC_170.0923_8.5,0.0910650369016681,0.686919168413006,0.806175968484709,0.826425116383519,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
TotFib,pHILIC_170.0923_8.5,-0.810478828424846,4.8079562069022e-06,0.0002708481996554,0.0002070426141597,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
TotSolFib,pHILIC_170.0923_8.5,0.110416357243273,0.624722674918736,0.759554906915585,0.786235913902925,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
SolFib,pHILIC_170.0923_8.5,-0.170746944190628,0.447415476538999,0.663273820483253,0.639971322797799,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
Sugar,pHILIC_170.0923_8.5,0.711445600794282,0.0002051841054401,0.0011185843167544,0.0030836141483683,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
SugAdd,pHILIC_170.0923_8.5,0.349462079110151,0.110895907267866,0.231375411460115,0.259549161588261,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
MonSac,pHILIC_170.0923_8.5,0.232215844099254,0.298380540029526,0.646491170063972,0.499457016827595,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
Disacc,pHILIC_170.0923_8.5,0.391579658677173,0.0715112084723945,0.212024460207626,0.192697320784367,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
SatFat,pHILIC_170.0923_8.5,0.451910245624528,0.034735383597715,0.141846238050456,0.11929633086071,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
MonoFat,pHILIC_170.0923_8.5,-0.488336260385195,0.0211160537580832,0.0566446521446995,0.084398256809974,170.0923_8.5,pHILIC_170.0923_8.5,1-Methylhistidine,C01152,HMDB00001,,,-0.630517121,pHILIC,2000000.0,[M+H]+,YES,Y,Amino Acid,Histidine Metabolism
