"data_set1","data_set2","cor","p","p_adjust","Mass","Metabolite","KEGG","HMDB","CAS","ChEBI","ppm","Mode","med","Ions","MSMS","Used.for.Quant","Super.pathway","Sub.pathway","true_name","mean_int"
"VitD_IU","pHILIC_806.567_4.8",-0.579401297286863,0.00471494846729915,0.0156240449210501,"806.567_4.8","PC(38:6)",NA,NA,NA,NA,"-3.022808787","pHILIC",1e+07,"[M+H]+","YES","Y",NA,NA,"PC(38:6)",286283064.776762
"VitD_IU","nRPLC_495.2962_9.1",-0.579401297286863,0.00471494846729915,0.0156240449210501,"495.2962_9.1","Pregnanediol-3-glucuronide","C03033","HMDB10318",NA,"HMDB","-0.278829397","nRPLC",50000,"[M-H]-","YES","Y","Lipid","Progestin Steroids","Pregnanediol-3-glucuronide",91095.2326315556
"Fe","pHILIC_219.0795_5",-0.611274060202447,0.00250730131147443,0.0156938489495992,"219.0795_5","Pro-Cys or Cys-Pro","||","HMDB28783|HMDB29014|","||","HMDB|HMDB|Drugbank","-1.34365578532509|-1.34365578532509|2.74010600703997","pHILIC",1e+06,"[M+H]+","YES","Y","Peptide","Dipeptide","Pro-Cys or Cys-Pro",1359196.62924922
"percent_carb_cal","nRPLC_465.2489_8.6",0.61468899908626,0.00233403510786858,0.0157780773291916,"465.2489_8.6","Androsterone glucuronide","C11135","HMDB02829","1852-43-3","HMDB","-1.047046712","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Androsterone glucuronide",198237.135747197
"Na","nHILIC_217.0651_5",0.620380563892614,0.00206770416733304,0.0158837274672402,"217.0651_5","Cys-Pro or Pro-Cys",NA,NA,NA,NA,"-0.609953447563239|-0.609953447563239|3.47380534854027","nHILIC",2e+06,"[M-H]-","YES","Y","Peptide","Dipeptide","Cys-Pro or Pro-Cys",1815250.46724771
"MonoFat","nHILIC_197.0679_1.4",0.582816236170676,0.00441981410226441,0.0158925230485678,"197.0679_1.4","5-Acetylamino-6-amino-3-methyluracil","C16366","HMDB04400",NA,NA,"-0.556384702","nHILIC",2e+06,"[M-H]-","YES","Y","Xenobiotics","Xanthine Metabolism","5-Acetylamino-6-amino-3-methyluracil",2311093.17950897
"Sugar","pHILIC_158.1174_6.2",-0.580539610248134,0.00461479774268425,0.0159163432349722,"158.1174_6.2","Homostachydrine","C08283","HMDB33433",NA,NA,"-1.01030411","pHILIC",5e+05,"[M+H]+","YES","Y","Xenobiotics","Food Component/Plant","Homostachydrine",671625.393816514
"Sugar","nRPLC_365.2333_9.7",0.579401297286863,0.00471494846729913,0.0159365258194711,"365.2333_9.7","Tetrahydrocortisol","C05472","HMDB00949","53-02-1","HMDB","-0.120680237","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Tetrahydrocortisol",161875.914821611
"TotSolFib","pHILIC_585.2694_4.9",-0.60216755651228,0.00302313338536293,0.015965923191448,"585.2694_4.9","Bilirubin","C00486","HMDB00054",NA,NA,"-2.336115852","pHILIC",9e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Bilirubin",1990805.44020459
"TotSolFib","nHILIC_132.0302_8.3",-0.603305869473551,0.00295414733917218,0.015965923191448,"132.0302_8.3","Iminodiacetate (IDA)","C19911","HMDB11753",NA,NA,"-0.208339785","nHILIC",1e+05,"[M-H]-","YES","Y","Xenobiotics","Chemical","Iminodiacetate (IDA)",100900.516711519
"Caff","pHILIC_816.5884_5",0.598915435162663,0.00322772418629017,0.0160436878671482,"816.5884_5","PC(P-40:7)",NA,NA,NA,NA,"-2.170838629","pHILIC",1e+05,"[M+H]+","YES","Y",NA,NA,"PC(P-40:7)",183312.274582332
"VitB6","nHILIC_217.0651_5",-0.610135747241176,0.0025674118022241,0.0160700960954027,"217.0651_5","Cys-Pro or Pro-Cys",NA,NA,NA,NA,"-0.609953447563239|-0.609953447563239|3.47380534854027","nHILIC",2e+06,"[M-H]-","YES","Y","Peptide","Dipeptide","Cys-Pro or Pro-Cys",1815250.46724771
"Retinol","nHILIC_777.5678_4.3",0.603305869473551,0.00295414733917218,0.0161048677522613,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"Fluor","nHILIC_512.2684_5.7",0.571433106557967,0.00546799889082791,0.0162121370622792,"512.2684_5.7","Chenodeoxycholic acid 3-sulfate","C11301","HMDB02639","15324-64-8","HMDB","-0.669084886","nHILIC",5e+05,"[M-H]-","YES","Y","Lipid","Secondary Bile Acid Metabolism","Chenodeoxycholic acid 3-sulfate",566003.839069317
"Phos","nRPLC_429.3008_10.3",0.626072128698968,0.00182751421491649,0.0162552580168888,"429.3008_10.3","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","C17337","HMDB12458",NA,NA,"-0.534110352","nRPLC",4e+05,"[M-H]-","YES","Y","Lipid","Sterol","7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)",413741.692823932
"VitE_a_Toco","nRPLC_365.2333_9.7",-0.577124671364322,0.00492069284858384,0.0163058253217778,"365.2333_9.7","Tetrahydrocortisol","C05472","HMDB00949","53-02-1","HMDB","-0.120680237","nRPLC",2e+05,"[M-H]-","YES","Y","Lipid","Androgenic Steroids","Tetrahydrocortisol",161875.914821611
"SolFib","pHILIC_585.2694_4.9",-0.61468899908626,0.00233403510786858,0.0164354972179079,"585.2694_4.9","Bilirubin","C00486","HMDB00054",NA,NA,"-2.336115852","pHILIC",9e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Bilirubin",1990805.44020459
"Caroten","pHILIC_585.2694_4.9",0.653391639769469,0.000975940002213862,0.0164933860374143,"585.2694_4.9","Bilirubin","C00486","HMDB00054",NA,NA,"-2.336115852","pHILIC",9e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism","Bilirubin",1990805.44020459
"SolFib","nHILIC_235.0723_6.5",0.612412373163718,0.00244838088489434,0.0165510547818857,"235.0723_6.5","L-Formylkynurenine","C02700","HMDB60485",NA,"HMDB","-0.537454362","nHILIC",90000,"[M-H]-","YES","Y","Amino Acid","Tryptophan Metabolism","L-Formylkynurenine",140995.630104424
"Biot","pRPLC_153.0658_1.2",-0.598752617628468,0.00323826507337592,0.0165838423454706,"153.0658_1.2","N1-Methyl-2-pyridone-5-carboxamide","C05842","HMDB04193",NA,NA,"-0.378209652","pRPLC",4e+05,"[M+H]+","YES","Y","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide",478368.264341488
"MonoFat","pRPLC_647.5116_11.7",0.579401297286863,0.00471494846729913,0.0166005477286157,"647.5116_11.7","SM(d18:1/12:0)","C00550","HMDB12096",NA,"HMDB","-1.012407775","pRPLC",2e+05,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/12:0)",327144.231265851
"Fluor","pHILIC_728.5563_4.5",-0.569156480635426,0.00570064905384588,0.0166105118982751,"728.5563_4.5","PE(P-36:2)",NA,NA,NA,NA,"-3.532912463","pHILIC",8e+05,"[M+H]+","YES","Y",NA,NA,"PE(P-36:2)",919968.524424057
"VitK","nHILIC_194.0458_4.6",0.603305869473551,0.00295414733917218,0.0166416966773366,"194.0458_4.6","Hydroxyhippurate",NA,NA,NA,NA,"-0.398768376","nHILIC",70000,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Hydroxyhippurate",1233088.00717227
"VitK","pRPLC_382.2719_9.6",-0.604444182434822,0.00288648913137191,0.0166416966773366,"382.2719_9.6","Sphinganine 1-phosphate","C01120","HMDB01383","19794-97-9","HMDB","0.551042475","pRPLC",40000,"[M+H]+","YES","Y","Lipid","Sphingolipid Metabolism","Sphinganine 1-phosphate",52742.9095773293
"TransFat","nHILIC_188.9862_0.9",0.618103937970072,0.00217097793538759,0.0166770577763865,"188.9862_0.9","Catechol sulfate",NA,"HMDB59724",NA,"HMDB","-0.599978483","nHILIC",6e+05,"[M-H]-","YES","Y","Xenobiotics","Benzoate Metabolism","Catechol sulfate",5265869.67064882
"Caff","nHILIC_777.5678_4.3",0.595489798736566,0.00345567258041071,0.0166859618882689,"777.5678_4.3","PG(36:0)",NA,NA,NA,NA,"3.46095331","nHILIC",3e+05,"[M-H]-","YES","Y",NA,NA,"PG(36:0)",362565.102202854
"TransFat","pRPLC_647.5116_11.7",-0.61582731204753,0.00227857272297315,0.0167425560948897,"647.5116_11.7","SM(d18:1/12:0)","C00550","HMDB12096",NA,"HMDB","-1.012407775","pRPLC",2e+05,"[M+H]+","YES","Y",NA,NA,"SM(d18:1/12:0)",327144.231265851
"Folate","nHILIC_261.0725_10.7",0.667051395304719,0.000696716752714032,0.0168207330298102,"261.0725_10.7","Asp-Glu or Glu-Asp",NA,NA,NA,NA,"-1.224100539","nHILIC",2e+06,"[M-H]-","YES","Y","Peptide","Dipeptide","Asp-Glu or Glu-Asp",1924130.56707819
